Metric,Diseases,Domain,Experiment Type,Instrument,Modification,Organism,Organism part,Quantification,Software
Accuracy,0.375,0.5625,0.46875,0.28125,0.15625,0.28125,0.40625,0.21875,0.21875
F1-Score,0.11389961389961391,0.23205574912891985,0.1335714285714286,0.11189839572192514,0.04681429681429681,0.10323886639676112,0.10416666666666667,0.09743589743589745,0.06525573192239859
Precision,0.12755102040816327,0.2416666666666667,0.13458333333333333,0.11568627450980391,0.051515151515151514,0.09999999999999999,0.09375,0.09743589743589745,0.06162464985994398
Recall,0.10559006211180123,0.23043478260869565,0.15416666666666665,0.11568627450980393,0.04924242424242424,0.11027568922305762,0.12083333333333333,0.09743589743589745,0.07142857142857142
