Metric,Diseases,Domain,Experiment Type,Instrument,Modification,Organism,Organism part,Quantification,Software
Accuracy,0.5949367088607594,0.7848101265822784,0.5569620253164557,0.3924050632911392,0.27848101265822783,0.4050632911392405,0.25316455696202533,0.4430379746835443,0.3670886075949367
F1-Score,0.0630952380952381,0.1968727789623312,0.1461526580792636,0.2355696934644303,0.11280864197530864,0.19100908656145385,0.12945990180032732,0.0890320616883117,0.12209862810530217
Precision,0.06023454157782516,0.19791666666666666,0.16161616161616163,0.22634489693313226,0.1054398148148148,0.17830882352941177,0.12971257932064204,0.08106060606060606,0.1592375366568915
Recall,0.06671159029649595,0.1984126984126984,0.1743827160493827,0.26245421245421247,0.13607804232804233,0.2176086120722799,0.14656442847932208,0.10321969696969698,0.13196480938416422
